Articulo,Desc_Articulo,Familia
RM00010506,BOTELLA PET 500 ML 28 BC MOD 500-45 ELECTROPAX AZUL 15.5 GR,ETIQUETADO AOKI
RM00010137,GARRAFA PEAD 3.785 L 38 MM NATURAL 110 GR,GARRAFAS PEAD
RM00010009,BOTELLA PET 1000 ML 28 BC MOD 1000-80 TRANSPARENTE 23.5 GR I,BOTELLAS Y FRASCOS
RM00010285,TAPA ROSCA PEAD 56 BC AZUL MARINO SAN ANDRES BOLSA 7.5 GR,TAPAS Y ASAS
RM00010208,BOTELLA PET 1000 ML 28 BC MOD 1000-21 TRANSPARENTE 24.5 GR,BOTELLAS Y FRASCOS
RM00010702,BOTELLA PET 1000 ML 28 BL MOD 1000-78 AZUL 25.5 GR,BOTELLAS Y FRASCOS
RM00000089,GARRAFA PEAD 1.893 L 38 MM NATURAL 70 G,GARRAFAS PEAD
RM00000119,TAPA ROSCA PEAD 38 BC NEGRO LE+IND CAJA 2.5 GR,TAPAS Y ASAS
RM00010124,GARRAFON PET 20 L 56 MM MOD. BIBE AZUL GENERICO CON ASA VERDE 740 GR,GARRAFON PET
RM00010620,TAPA ROSCA PEAD 56 BC VERDE C/LINER ESPUMADO 7.5 GR,TAPAS Y ASAS
RM00010507,BOTELLA PET 500 ML 28 BC MOD 500-45 SAN ANDRES AZUL COBALTO 15.5 GR,ETIQUETADO AOKI
RM00000117,"GARRAFA PET 5 LTS 48MM MOD REDONDA CON ASA BLANCA TRANSPARENTE 80 GRS	",GARRAFAS PET
RM00010491,TAPA ROSCA PEAD 50 BC AMARILLO LE + IND BOLSA 4.6 GR,TAPAS Y ASAS
RM00010241,GARRAFA PET 1.893 L 48 MM MOD MEDIO GALON TRANSPARENTE 80 GR,GARRAFAS PET
RM00000162,BOTELLA PET 2 L 28 BL MOD.  FONDO PLANO TRANSPARENTE 52 GR,GARRAFAS PET
RM00010726,TAPA ROSCA PEAD 48 BC VERDE CAJA 5.5 GR,TAPAS Y ASAS
RM00010610,BOTELLA PET 500 ML 28 BC MOD 500-45 MAHEKAL TRANSPARENTE 15.5 GR,ETIQUETADO AOKI
RM00010755,BOTELLA PET 500 ML 28 BC MOD 500-45 AVENTURAS MAYAS TRANSPARENTE 15.5 GR,ETIQUETADO AOKI
RM00010529,BOTELLA PET 350 ML 28 BC MOD. TROPICAL SAN ANDRES AZUL COBALTO 15.5 GR,ETIQUETADO AOKI
RM00010215,BOTELLA PET 500 ML 28 BC MOD 500-45 TRANSPARENTE 15.5 GR I,BOTELLAS Y FRASCOS
RM00010004,BOTELLA PET 500 ML 28 BC MOD 500-45 AZUL 15.5 GR,BOTELLAS Y FRASCOS
RM00010448,PREFORMA PET 26 MM 11.5 GR TRANSPARENTE REMSA,PREFORMAS
RM00000177,GARRAFA PET 6 L 48 MM MOD REDONDO SIN ASA TRANSPARENTE 80GR,GARRAFAS PET
RM00010639,TAPA ROSCA #24 FLIP TOP HABANERA NEGRA DKL,REVENTA
RM00010710,GARRAFON PET 20 L 56 MM MORADO CON ASA BLANCA GLACIAR 740 GR,GARRAFON PET
RM00010501,BOTELLA PET 1500 ML 28 BC MOD. 1500-37 AGUA AZUL AZUL 34 GR,ETIQUETADO AOKI
RM00000146,BOTELLA PET 500-45 ML BC 15.5 G TRANSPARENTE P/ETIQUETAR,MATERIA PRIMA
RM00010603,BOTELLA PET 1000 ML 28 BC MOD 1000-65 AGUA AZUL AZUL 24.5 GR,ETIQUETADO AOKI
RM00010825,TAPA LARGA #28 AMARILLA,REVENTA
RM00010685,TAPA ROSCA PEAD #24 FLIP TOP HABANERA NARANJA APT,REVENTA
RM00000248,TAPA ROSCA PEAD 28 BC MOD. CORTA BLANCA CAJA 1.8 GR,TAPAS Y ASAS
RM00000252,GARRAFA PET 2 L 28 BL SIN ASA TRANSPARENTE 52 GR,GARRAFAS PET
RM00010796,BOTELLA PET 200 ML 28 BC MOD. PACHITA TRANSPARENTE 24.5 GR,BOTELLAS SOPLADAS
RM00010638,TAPA ROSCA #24 FLIP TOP HABANERA BLANCA DKL,REVENTA
RM00010837,BOTELLA PET 1000 ML 28 BC MOD 1000-80 TRANSPARENTE 27 GR,BOTELLAS SOPLADAS
RM00010492,BOTELLA PET 500 ML 28 BC MOD TORNADO MAHEKAL TRANSPARENTE 15.5 GR,ETIQUETADO AOKI
RM00010038,BOTELLA PET 350 ML 28 BC MOD. 350-16 AZUL 15 GR,BOTELLAS Y FRASCOS
RM00010022,BOTELLA PET 500 ML 28 BC MOD 500-43 TRANSPARENTE 15.5 GR I,BOTELLAS Y FRASCOS
RM00000348,BOTELLA PET 1000 ML 28 BC MOD 1000-80 TRANSPARENTE 20.5 GR,BOTELLAS SOPLADAS
RM00010261,TAPA ROSCA PEAD 28 BL NARANJA BOLSA 2.4 GR,TAPAS Y ASAS
RM00010580,TAPA ROSCA PEAD 28 BL MAGENTA BOLSA 2.4 GR,TAPAS Y ASAS
RM00010582,TAPA ROSCA PEAD 28 BL NATURAL BOLSA 2.4 GR,TAPAS Y ASAS
RM00010700,TAPA ROSCA PEAD 28 BL NEGRA BOLSA 2.4 GR,TAPAS Y ASAS
RM00010696,TAPA ROSCA PEAD 28 BL AZUL OBSCURO BOLSA 2.4 GR,TAPAS Y ASAS
RM00000400,GARRAFA PET 5 LT 48 MM MOD SLIM TRANSPARENTE 118 GR,GARRAFAS PET
RM00010500,BOTELLA PET 500 ML 28 BC MOD 500-73 AGUA AZUL AZUL 15.5 GR,ETIQUETADO AOKI
RM00000373,BOTELLA PET 750 ML 28 BC MOD LICORES TRANSPARENTE 32 GR,BOTELLAS Y FRASCOS
RM00000430,"BOTELLA PET 1000 ML 28 BC MOD 1000-43 TRANSPARENTE 33.5 GR	",BOTELLAS Y FRASCOS
RM00010098,GARRAFA PET 3.785 L 48 MM MOD REDONDA CON ASA BLANCA TRANSPARENTE 80 GR,GARRAFAS PET
RM00000458,TAPA ROSCA PEAD 38 BC MOD. QUIMICOS ROJA C/LINER 2.5 GR,TAPAS Y ASAS
RM00010020,BOTELLA PET 500 ML 28 BC MOD 500-43 TRANSPARENTE 18 GR,BOTELLAS Y FRASCOS
RM00000512,GARRAFA PEAD 2 L 38 MM NATURAL 80 GR,GARRAFAS PEAD
RM00000513,GARRAFA PET 6 L 48 MM MOD REDONDO SIN ASA TRANSPARENTE 118 GR,GARRAFAS PET
RM00010476,BOTELLA PET 250 ML 28 BC MOD. JUGOS TRANSPARENTE 13 GR S,BOTELLAS SOPLADAS
RM00000457,TAPA ROSCA PEAD 38 BC MOD QUIMICOS NATURAL C/LINER 2.5 GR,TAPAS Y ASAS
RM00010522,TAPA ROSCA PEAD 56 BC BLANCA 7.5 GR,TAPAS Y ASAS
